screen_name,text,time,date
@ganggreen_74,"@femfreq you just don't know when to shut up . You should go on the biggest loser show , go put a dick in your mouth and shut up",5:54 PM,1/26/2015
@the8bitericshow,I need to get my hands on the @femfreq porn parody. I have a secret crush on Anita. I want her to make my sandwiches for the rest of my life,5:55 PM,1/26/2015
@ganggreen_74,"@femfreq oh what now, you just got buried bitch . PIPEBOMB !!!",5:57 PM,1/26/2015
@sporespam,"@femfreq Who gives a fuck, There's a reason why they're shitting on you. It's because you're not a Feminist, No. You're a Feminazi.",6:02 PM,1/26/2015
@vibratingpiggie,Why can't I shake the feeling that @femfreq is picking Twitter handles out of a hat and shooping together threat screenshots?,6:06 PM,1/26/2015
@skywardsoldier,"@femfreq Good God, just shut the fuck up. For once in your life, shut the fuck up. You're not worth the breath you breathe. It's all hot air",6:07 PM,1/26/2015
@matimarche,@femfreq Oh god you're such a CUNT.,6:13 PM,1/26/2015
@jaakeycoady,"@femfreq Everyone knows, you're a liar, a con, an attention whore, a femenazi (not a feminist), a sexist pig. an all-round joke. get real.",6:16 PM,1/26/2015
@kenzibosconovit,@femfreq then shut up! You're ruining all the fun,6:27 PM,1/26/2015
@itsjohnniebruhs,#FuckAnitaSarkeesian this bitch needs to shut the fuck up. @femfreq,6:33 PM,1/26/2015
@neodanger777,@femfreq RETWEET ME OR I WILL BOMB YOUR HOUSE AT NIGHT!,6:46 PM,1/26/2015
@nzdeathmachine,@femfreq good bitch fuck off,6:47 PM,1/26/2015
@tankcatapult,"@femfreq *ahem* You do realize that by ""speaking out for all women,"" you are being a complete c-u-n-t, right?",6:51 PM,1/26/2015
@johnskeete,@femfreq Just shut the fuck up and get a job and LEAVE GAMERS ALONE. I DARE YOU to put me on blast! COME AT ME BRO!,7:02 PM,1/26/2015
@titan220,@femfreq get a goddamn fucking life cunt!! trash my youtube friends like @AlphaOmegaSin shame on you bitch!!!,7:08 PM,1/26/2015
@krenvolt,@femfreq Feminist? That term can only be used in real women. Stop soiling what that ideology really stands for ya dumb whore.,7:19 PM,1/26/2015
@ericb982,@femfreq Fuck off.,7:42 PM,1/26/2015
@nwo_h8ter,"@femfreq Your pathetic. You can not silence freedom of speech. If I want to create a book, movie, or game, that caters to men so be it. CUNT",7:54 PM,1/26/2015
@themariobros46,"@femfreq @Support Anita, keep in mind, all of these threats are from people called trolls, grow the fuck up you stupid cow!",8:08 PM,1/26/2015
@rkolegend3,"@femfreq you deserve every single threat you get, what a stupid bitch, most people already understand that all you want is money.whore",8:23 PM,1/26/2015
@fatalninjer,@femfreq call me out along with alphaomegasin i am going to knock some sense into your brain bitch,8:44 PM,1/26/2015
@bengary1988,@femfreq your one dumb cunt and am going doxs you then going to your home and kill you slowly,8:55 PM,1/26/2015
@bmoneylives,@femfreq please die in a car crash,9:11 PM,1/26/2015
@peewee78368,@femfreq You talk about slandering but yet you slander the you tube community. Stop being a low life bitch and grow up.,9:30 PM,1/26/2015
@feelssoempty,"Fuck Anita Sarkeesian just because she and her idiot cult would interpret a tweet saying ""Fuck Anita Sarkeesian"" as ""harassment""",9:47 PM,1/26/2015
@efhobby,@femfreq someone ship this bitch to a lonely island,10:34 PM,1/26/2015
@demonoidmaster,@femfreq you should stop your bullshit and try yourself in the porn industry you fucking whore,10:58 PM,1/26/2015
@eduardvictortom,"@femfreq You cunts bitch and moan that there are not enough women in tech, this is probably why, they are too fucking stupid, and they",11:02 PM,1/26/2015
@jatworks_swirl,"@femfreq You can literally die in a hole, lmao.",11:18 PM,1/26/2015
@lppanther,"@femfreq you are setting the women's movement back with every word you say. Quit being an attention whore, no one made you a rep for women.",11:33 PM,1/26/2015
@knucklezrapper,"@femfreq shut the fuck up, you feminazi! Why don't you just go in the corner and cry how people on the web give you boo boos on the inside.",2:26 AM,1/27/2015
